title,year,language,period,opening_weekend_cr,opening_weekend_note,wide_release_flag,genre,genre_primary,certification,cert_subband,has_certification,runtime_minutes,theatrical_release,festival_release,cast,director,production,star_power_flag,star_prior_mean_log,star_prior_count,lead_cast_popularity,popularity,sequel_flag,release_weekday,release_month,rating,rating_count,total_gross,india_net,overseas,budget,budget_cr,sacnilk_slug,wiki_title,tmdb_id
Demonte Colony 2 - Vengeance Of The Unholy,2024,Tamil,post_covid,11.900000095367432,ok,True,"Horror, Thriller",Horror,,,False,144.0,15 Aug 2024,True,Arulnithi Tamilarasu; Priya Bhavani Shankar; Archana Ravichandran,R. Ajay Gnanamuthu,White Nights Entertainment,1,1.252762968495368,3,,,1,Thursday,8,,,Rs47.5 Cr,Rs33.33 Cr,Rs6.0 Cr,Rs1.0 Cr,,Demonte_Colony_2__Vengeance_Of_The_Unholy_2024,Demonte Colony 2,
Meiyazhagan,2024,Tamil,post_covid,11.650000095367432,ok,True,"Comedy, Drama",Comedy,U,U,True,178.0,27 Sep 2024,False,Karthik Sivakumar; Rajkiran; Arvind Swamy; Sri Divya,C. Prem Kumar,2D Entertainment,1,3.127648679705117,7,1.2592,2.1571,0,Friday,9,8.2,63.0,Rs51.43 Cr,Rs26.48 Cr,Rs12.25 Cr,Rs1.0 Cr,,Meiyazhagan_2024,Meiyazhagan,1136423.0
Lal Salaam,2024,Tamil,post_covid,9.150000095367432,ok,True,"Action, Drama, Thriller",Action,,,False,150.0,09 Feb 2024,False,Rajinikanth; Vishnu Vishal; Vikranth,Aishwarya Rajinikanth,Lyca Productions,1,3.890773940009011,3,1.8497,1.1142,0,Friday,2,2.5,2.0,Rs31.25 Cr,Rs16.15 Cr,Rs10.25 Cr,Rs1.0 Cr,8.1755,Lal_Salaam_2023,Lal Salaam (2024 film),1044552.0
Vaazhai,2024,Tamil,post_covid,7.649999976158142,ok,True,Drama,Drama,U,U,True,136.0,23 Aug 2024,False,Kalaiyarasan; Nikhila Vimal; Dhivya Dhuraisamy; Priyanka Nair,Mari Selvaraj,Navvi Studios,1,1.9740810243663252,2,0.7267,1.0166,0,Friday,8,6.941,17.0,Rs39.5 Cr,Rs28.91 Cr,Rs6.1 Cr,Rs1.0 Cr,,Vaazhai_2024,Vaazhai,1051426.0
Siren,2024,Tamil,post_covid,5.649999976158142,ok,True,"Action, Drama",Action,,,False,,16 Feb 2024,False,Yogi Babu; Ravi Mohan; Keerthi Suresh; Anupama Parameswaran,Anthony Bhagyaraj,Home Movie Makers,1,3.033168878162455,11,1.6677,1.019,0,Friday,2,6.2,7.0,Rs19.75 Cr,Rs14.05 Cr,Rs3.45 Cr,Rs1.0 Cr,,Siren_2024,Siren (2024 film),1019232.0
Brother,2024,Tamil,post_covid,5.190000057220459,ok,True,"Comedy, Drama, Family",Comedy,,,False,89.0,31 Oct 2024,True,Ravi Mohan; Natarajan Subramaniam; Priyanka Arulmohan; Bhumika Chawla,M. Rajesh,Screen Scene Media Entertainment,1,2.8054584727464684,5,3.6828,13.9795,0,Thursday,10,7.283,5861.0,Rs8.2 Cr,Rs9.35 Cr,Rs0.0 Cr,Rs1.0 Cr,1062.4,Brother_2024,Brothers (2024 film),10009.0
Lubber Pandhu,2024,Tamil,post_covid,4.25,ok,True,"Drama, Romantic, Sports",Drama,U,U,True,144.0,20 Sep 2024,False,Harish Kalyan; Dinesh; Swasika; Sanjana Krishnamoorthy,Tamizharasan Pachamuthu,Prince Pictures,1,1.3150443362599944,2,2.7087,0.9535,0,Friday,9,7.611,18.0,Rs47.25 Cr,Rs37.56 Cr,Rs4.0 Cr,Rs1.0 Cr,,Lubber_Pandhu_2024,Lubber Pandhu,1097000.0
Bloody Beggar,2024,Tamil,post_covid,4.149999976158142,ok,True,"Comedy, Drama",Comedy,,,False,139.0,31 Oct 2024,True,Kavin Raj; Redin Kingsley; Sunil Sukhada; Anarkali Nazar,Sivabalan Muthukumar,Filament Pictures,1,2.1124304988805225,2,0.9204,1.058,0,Thursday,10,6.2,10.0,Rs9.21 Cr,Rs7.71 Cr,Rs0.0 Cr,Rs1.0 Cr,,Bloody_Beggar_2024,Bloody Beggar,1311073.0
Singapore Saloon,2024,Tamil,post_covid,3.600000023841858,ok,True,"Comedy, Drama",Comedy,,,False,,25 Jan 2024,False,Sathyaraj; RJ Balaji; Lal; Meenakshii Chaudhary,Gokul (director),Vels Film International,1,2.696885041354892,10,1.2116,0.9509,0,Thursday,1,6.2,5.0,Rs9.18 Cr,Rs7.9 Cr,Rs0.0 Cr,Rs1.0 Cr,,Singapore_Saloon_2024,Singapore Saloon,1046924.0
Blue Star,2024,Tamil,post_covid,3.5999999046325684,ok,True,"Drama, Sports",Drama,,,False,166.0,25 Jan 2024,False,,,,0,2.2304900947512913,265,0.7645,0.8368,0,Thursday,1,7.8,8.0,Rs10.32 Cr,Rs8.91 Cr,Rs0.0 Cr,Rs1.0 Cr,,Blue_Star_2024,Blue Star (film),1230097.0
Inga Naan Thaan Kingu,2024,Tamil,post_covid,3.5600000619888306,ok,True,"Comedy, Crime",Comedy,U,U,True,,17 May 2024,False,Santhanam; Thambi Ramaiah; Priyalaya,Anand Narayan,Gopuram Studios,1,1.4747999198028876,7,1.3443,0.8469,0,Friday,5,5.0,1.0,Rs1.26 Cr,Rs6.98 Cr,₹0.00 Cr,Rs1.0 Cr,,Inga_Naan_Thaan_Kingu_2024,Inga Naan Thaan Kingu,1278884.0
Vadakkupatti Ramasamy,2024,Tamil,post_covid,3.3399999737739563,ok,True,Drama,Drama,U,U,True,140.0,02 Feb 2024,False,Santhanam; Mottai Rajendran; Nizhalgal Ravi; Megha Akash,Karthik Yogi,People Media Factory,1,1.8966197272685088,6,1.3443,0.8411,0,Friday,2,6.6,5.0,Rs9.96 Cr,Rs8.58 Cr,Rs0.0 Cr,Rs1.0 Cr,,Vadakkupatti_Ramasamy_2024,Vadakkupatti Ramasamy,1115680.0
Andhagan,2024,Tamil,post_covid,3.049999952316284,ok,True,"Comedy, Thriller",Comedy,,,False,135.0,09 Aug 2024,False,Prashanth Thyagarajan; Samuthirakani; Simran; Priya Anand,Thiagarajan,Staar Movies,1,3.822098297900159,8,2.2743,0.9002,0,Friday,8,7.0,2.0,Rs6.11 Cr,Rs5.82 Cr,Rs0.0 Cr,Rs1.0 Cr,,Andhagan_2024,Andhagan,904704.0
Sorgavaasal,2024,Tamil,post_covid,2.830000042915344,ok,True,"Action, Crime, Drama",Action,A,A,True,135.0,29 Nov 2024,False,,,,0,1.6198823660448418,412,1.1597,1.1864,0,Friday,11,6.714,7.0,Rs0.95 Cr,Rs5.45 Cr,₹0.00 Cr,Rs1.0 Cr,24.9,Sorgavaasal_2024,Sorgavaasal,1323267.0
Lover,2024,Tamil,post_covid,2.790000021457672,ok,True,"Drama, Romantic",Drama,UA,UA,True,,09 Feb 2024,False,Manikandan K.; Nikhila Sankar; Sri Gouri Priya,Prabhu Ram Vyas,MRP Entertainment,1,,0,1.5125,1.1749,0,Friday,2,7.353,17.0,Rs9.44 Cr,Rs8.17 Cr,Rs0.0 Cr,Rs1.0 Cr,,Lover_2024,Lover (2024 film),1219158.0
Romeo,2024,Tamil,post_covid,2.4699999690055847,ok,True,"Comedy, Romantic",Comedy,,,False,150.0,11 Apr 2024,True,,,,0,2.0077983302488276,305,2.1277,1.1001,0,Thursday,4,6.522,89.0,Rs1.36 Cr,Rs8.47 Cr,₹0.00 Cr,Rs1.0 Cr,,Romeo_2024,Romeo (2024 film),1168806.0
Kadaisi Ulaga Por,2024,Tamil,post_covid,2.2899999618530273,ok,True,"Action, Sci-Fi, Thriller, War",Action,,,False,138.0,20 Sep 2024,False,,,,0,1.7445275358161618,371,1.3269,1.111,0,Friday,9,5.8,5.0,Rs1.12 Cr,Rs3.97 Cr,Rs0.0 Cr,Rs1.0 Cr,,Kadaisi_Ulaga_Por_2024,Kadaisi Ulaga Por,1318349.0
Mazhai Pidikatha Manithan,2024,Tamil,post_covid,1.6299999952316284,ok,True,"Action, Drama",Action,,,False,133.0,02 Aug 2024,False,,,,0,1.7935438635274155,353,0.8748,0.8765,0,Friday,8,2.0,1.0,Rs0.06 Cr,Rs2.74 Cr,₹0.00 Cr,Rs1.0 Cr,,Mazhai_Pidikatha_Manithan_2024,Mazhai Pidikkatha Manithan,896954.0
Black,2024,Tamil,post_covid,1.449999988079071,ok,True,"Horror, Thriller",Horror,UA,U/A,True,117.0,11 Oct 2024,False,Jiiva; Priya Bhavani Shankar,KG Balasubramani,Potential Studios LLP,1,1.9049951436279093,4,8.1075,21.0382,0,Friday,10,6.769,7245.0,Rs11.82 Cr,Rs11.23 Cr,Rs0.0 Cr,Rs1.0 Cr,1660.0,Black_2024,Black (2024 film),436270.0
Joshua: Imai Pol Kaakha,2024,Tamil,post_covid,1.4100000262260437,ok,True,"Action, Crime, Thriller",Action,,,False,140.0,01 Mar 2024,False,,,,0,2.14884614141595,279,0.7599,1.5933,0,Friday,3,3.8,5.0,Rs0.78 Cr,Rs2.11 Cr,₹0.00 Cr,Rs1.0 Cr,,Joshua_Imai_Pol_Kaakha_2024,Joshua: Imai Pol Kaakha,652784.0
Miss You,2024,Tamil,post_covid,1.39000004529953,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,,13 Dec 2024,False,,,,0,1.6192116213677297,413,1.2626,0.9477,0,Friday,12,6.1,6.0,Rs0.3 Cr,Rs3.07 Cr,₹0.00 Cr,Rs1.0 Cr,,Miss_You_2024,Miss You (film),1351991.0
Kalvan,2024,Tamil,post_covid,1.350000023841858,ok,True,"Adventure, Drama",Adventure,UA,UA,True,,04 Apr 2024,False,,,,0,2.016441422792482,303,0.7996,0.7687,0,Thursday,4,6.0,1.0,Rs3.7 Cr,Rs3.24 Cr,Rs0.0 Cr,Rs1.0 Cr,,Kalvan_2024,Kalvan (film),1150401.0
Hitler,2024,Tamil,post_covid,1.2899999916553495,ok,True,Drama,Drama,,,False,130.0,27 Sep 2024,False,,,,0,1.7234220835844873,377,0.8326,0.6166,0,Friday,9,2.5,2.0,Rs1.1 Cr,Rs2.28 Cr,₹0.00 Cr,Rs1.0 Cr,,Hitler_2024,Hitler (2024 film),1185591.0
Kottukkaali,2024,Tamil,post_covid,1.0399999916553495,ok,True,"Adventure, Drama",Adventure,UA,UA,True,100.0,23 Aug 2024,False,,,,0,1.7777472288090403,360,1.8888,0.6623,0,Friday,8,7.706,17.0,Rs1.62 Cr,Rs1.44 Cr,₹0.00 Cr,Rs1.0 Cr,,Kottukkaali_2024,The Adamant Girl,1098332.0
Boat,2024,Tamil,post_covid,0.9000000059604645,ok,True,"Adventure, Drama",Adventure,,,False,125.0,02 Aug 2024,False,,,,0,1.7935438635274155,353,4.9049,3.4468,0,Friday,8,7.236,379.0,Rs1.63 Cr,Rs1.46 Cr,₹0.00 Cr,Rs1.0 Cr,332.0,Boat_2024,Boat (2024 film),823452.0
Rebel (2024),2024,Tamil,post_covid,0.8699999898672104,ok,True,"Action, Drama, Thriller",Action,,,False,141.0,22 Mar 2024,False,,,,0,2.059949116484296,294,0.6968,0.4166,0,Friday,3,0.0,0.0,Rs0.21 Cr,Rs1.67 Cr,₹0.00 Cr,Rs1.0 Cr,,Rebel_2024,Rebel (2024 film),1428269.0
Hit list,2024,Tamil,post_covid,0.7700000256299973,ok,True,Drama,Drama,UA,UA,True,,31 May 2024,False,,,,0,1.8985728160807622,326,1.6677,1.3059,0,Friday,5,5.0,1.0,Rs0.56 Cr,Rs1.22 Cr,₹0.00 Cr,Rs1.0 Cr,,Hit_list_2024,Hit List (2024 film),1298116.0
POR,2024,Tamil,post_covid,0.7099999934434891,ok,True,"Action, Drama",Action,A,A,True,147.0,01 Mar 2024,False,,,,0,2.14884614141595,279,1.1046,0.6724,0,Friday,3,0.0,0.0,Rs1.65 Cr,Rs1.46 Cr,₹0.00 Cr,Rs1.0 Cr,,POR_2024,Por Thozhil,1443674.0
Nirangal Moondru,2024,Tamil,post_covid,0.6700000017881393,ok,True,"Crime, Drama, Thriller",Crime,UA,UA,True,120.0,22 Nov 2024,False,,,,0,1.6317201482644241,407,1.0438,0.6699,0,Friday,11,5.7,6.0,Rs0.48 Cr,Rs1.09 Cr,₹0.00 Cr,Rs1.0 Cr,,Nirangal_Moondru_2024,Nirangal Moondru,922360.0
Mission Chapter 1,2024,Tamil,post_covid,0.6500000208616257,ok,True,"Action, Thriller",Action,,,False,144.0,12 Jan 2024,False,,,,0,2.2525095378653957,262,1.2868,0.8824,1,Friday,1,7.0,5.0,Rs6.16 Cr,Rs5.35 Cr,Rs0.0 Cr,Rs1.0 Cr,,Mission_Chapter_1_2024,Mission: Chapter 1,1043311.0
Nandhan,2024,Tamil,post_covid,0.5700000002980232,ok,True,"Drama, Family",Drama,,,False,,20 Sep 2024,False,,,,0,1.7445275358161618,371,0.962,1.1692,0,Friday,9,0.0,0.0,Rs1.18 Cr,Rs1.06 Cr,₹0.00 Cr,Rs1.0 Cr,,Nandhan_2024,Nandhan,1060532.0
J Baby,2024,Tamil,post_covid,0.5199999958276749,ok,True,Drama,Drama,,,False,,08 Mar 2024,False,,,,0,2.120883557528759,284,0.7788,1.4081,0,Friday,3,0.0,0.0,Rs1.37 Cr,Rs1.21 Cr,₹0.00 Cr,Rs1.0 Cr,,J_Baby_2024,J Baby,980517.0
Teenz,2024,Tamil,post_covid,0.5099999979138374,ok,True,"Adventure, Drama, Thriller",Adventure,U,U,True,,12 Jul 2024,False,,,,0,1.8217724500930017,346,0.2732,0.7606,0,Friday,7,5.0,3.0,Rs2.39 Cr,Rs2.15 Cr,₹0.00 Cr,Rs1.0 Cr,,Teenz_2024,Teenz,1313462.0
Ranam Aram Thavarel,2024,Tamil,post_covid,0.4499999955296516,ok,True,"Mystery, Thriller",Mystery,,,False,,23 Feb 2024,False,,,,0,2.175544458706919,275,0.6938,1.1019,0,Friday,2,8.0,1.0,Rs1.58 Cr,Rs1.43 Cr,₹0.00 Cr,Rs1.0 Cr,,Ranam_Aram_Thavarel_2024,Ranam Aram Thavarel,1246021.0
Coolie,2025,Tamil,post_covid,83.54999923706055,ok,True,Action,Action,A,A,True,170.0,14 Aug 2025,True,Rajinikanth; Upendra; Aamir Khan; Nagarjuna Akkineni; Sathyaraj; Soubin Shahir; Shruthi Haasan,Lokesh Kanagaraj,Sun Pictures,1,4.032760593034504,6,1.8497,3.1338,0,Thursday,8,6.153,95.0,Rs518.0 Cr,Rs183.18 Cr,Rs180.5 Cr,Rs350.0 Cr,350.0,Coolie_2025,Coolie (2025 film),1153399.0
Good Bad Ugly,2025,Tamil,post_covid,53.95000076293945,ok,True,"Action, Drama, Thriller",Action,A,A,True,139.0,10 Apr 2025,False,Yogi Babu; Jackie Shroff; Arjun Das; Sunil Varma; Ajith Kumar; Rahul Dev; Tinnu Anand; Sayaji Shinde; Trisha Krishnan; Priya Prakash Varrier,Adhik Ravichandran,Mythri Movie Makers,1,3.5280456285199935,17,6.6159,21.0381,0,Thursday,4,8.468,9939.0,Rs248.25 Cr,Rs147.75 Cr,Rs67.5 Cr,Rs1.0 Cr,9.96,Good_Bad_Ugly_2025,Good Bad Ugly,429.0
Vidaamuyarchi,2025,Tamil,post_covid,35.30000019073486,ok,True,"Action, Mystery, Thriller",Action,UA,U/A,True,150.0,06 Feb 2025,False,Arjun Sarja; Ajith Kumar; Regina Cassandra; Trisha Krishnan,Magizh Thirumeni,Lyca Productions,1,3.7295523307309666,3,1.8613,2.1911,0,Thursday,2,6.0,34.0,Rs135.89 Cr,Rs78.58 Cr,Rs40.15 Cr,Rs1.0 Cr,180.11,Vidaamuyarchi_2025,Vidaamuyarchi,949716.0
Madharasi,2025,Tamil,post_covid,33.39999961853027,ok,True,"Action, Drama",Action,UA,U/A 16+,True,168.0,05 Sep 2025,False,Vidyut Jammwal; Prem Kumar; Sivakarthikeyan; Biju Menon; Vikranth; Monisha Vijay; Rukmini Vasanth,AR Murugadoss,Sri Lakshmi Movies,1,3.195562055670512,6,2.3737,2.2299,0,Friday,9,6.903,31.0,Rs98.75 Cr,Rs57.19 Cr,Rs25.0 Cr,Rs1.0 Cr,199.2,Madharasi_2025,Madharaasi,1297181.0
Dragon,2025,Tamil,post_covid,25.19999933242798,ok,True,"Comedy, Drama, Thriller",Comedy,UA,U/A,True,155.0,21 Feb 2025,False,Pradeep Ranganathan; Mysskin; Gautham Vasudev Menon; Kayadu Lohar; Anupama Parameswaran,Ashwath Marimuthu,AGS Entertainment,1,2.533696813957432,9,5.4669,26.969,0,Friday,2,7.934,3107.0,Rs151.83 Cr,Rs83.76 Cr,Rs33.0 Cr,Rs1.0 Cr,1245.0,Dragon_2025,Dragon (2025 film),1087192.0
Thalaivan Thalaivii,2025,Tamil,post_covid,22.74999952316284,ok,True,"Comedy, Drama, Romantic",Comedy,UA,U/A 13+,True,141.0,25 Jul 2025,False,Yogi Babu; Vijay Sethupathi; Nithya Menen,Pandiraj,Sathya Jyothi Films,1,3.4031054088863666,20,1.9184,1.76,0,Friday,7,6.8,12.0,Rs85.78 Cr,Rs59.36 Cr,Rs18.0 Cr,Rs1.0 Cr,,Thalaivan_Thalaivii_2025,Thalaivan Thalaivii,1434580.0
Dude,2025,Tamil,post_covid,22.0,ok,True,Action,Action,UA,U/A,True,139.0,17 Oct 2025,False,Pradeep Ranganathan; Hridhu Haroon; R. Sarathkumar; Rohini; Mamitha Baiju,Keerthiswaran,Mythri Movie Makers,1,2.899728099622317,6,4.0686,2.4403,0,Friday,10,5.51,51.0,Rs114.3 Cr,Rs56.8 Cr,Rs28.25 Cr,Rs35.0 Cr,35.0,Dude_2025,Dude (2025 film),1321108.0
Retro,2025,Tamil,post_covid,21.800000190734863,ok,True,"Action, Drama, Romantic",Action,UA,U/A,True,168.0,01 May 2025,False,Joju George; Prakash Raj; Suriya; Jayaram; Nassar; Pooja Hegde,Karthik Subbaraj,Stone Bench Films,1,2.9814913367357296,19,3.5161,1.999,0,Thursday,5,6.313,48.0,Rs97.35 Cr,Rs54.55 Cr,Rs26.0 Cr,Rs1.0 Cr,63.08,Retro_2025,Retro (film),1265827.0
Thug Life,2025,Tamil,post_covid,19.09999990463257,ok,True,"Action, Crime, Drama, Thriller",Action,UA,U/A 16+,True,163.0,05 Jun 2025,False,Kamal Haasan; Joju George; Mahesh Manjrekar; Nassar; T.R. Silambarasan; Ashok Selvan; Ali Fazal; Abhirami; Trisha Krishnan; Aishwarya Lekshmi,Mani Ratnam,Raaj Kamal Films International,1,4.2740658976605985,5,1.7151,1.9992,0,Thursday,6,5.0,27.0,Rs97.44 Cr,Rs42.14 Cr,Rs41.2 Cr,Rs1.0 Cr,290.5,Thug_Life_2025,Thug Life (2025 film),1045021.0
Idli Kadai,2025,Tamil,post_covid,16.799999713897705,ok,True,Comedy,Comedy,U,U,True,147.0,01 Oct 2025,False,Arun Vijay; Rajkiran; Dhanush; Sathyaraj; Nithya Menen; Shalini Pandey,Dhanush,Wunderbar Films,1,3.022186259873567,7,1.9061,1.5924,0,Wednesday,10,6.673,26.0,Rs71.86 Cr,Rs47.0 Cr,Rs12.5 Cr,Rs125.0 Cr,125.0,Idly_Kadai_2025,Idli Kadai,1323880.0
Veera Dheera Sooran,2025,Tamil,post_covid,15.25,ok,True,"Action, Thriller",Action,UA,U/A 13+,True,162.0,27 Mar 2025,False,S. J. Suryah; Suraj Venjaramoodu; Vikram Kennedy; Siddique; Dushara Vijayan,S. U. Arun Kumar,HR Pictures,1,3.464231002332844,9,2.5448,1.5416,0,Thursday,3,6.889,27.0,Rs65.36 Cr,Rs40.95 Cr,Rs16.0 Cr,Rs1.0 Cr,53.4682431,Veera_Dheera_Sooran_2025,Veera Dheera Sooran,1198208.0
Madha Gaja Raja,2025,Tamil,post_covid,10.900000095367432,ok,True,"Action, Comedy",Action,,,False,155.0,12 Jan 2025,False,Vishal Krishna; Santhanam; Varalaxmi Sarathkumar; Anjali,Sundar C.,Gemini Film Circuit,1,2.137398984756203,8,1.3443,1.273,0,Sunday,1,4.0,3.0,Rs62.5 Cr,Rs47.57 Cr,Rs6.0 Cr,Rs1.0 Cr,,Madha_Gaja_Raja_2025,Madha Gaja Raja,280951.0
Bison Kaalamaadan,2025,Tamil,post_covid,10.600000143051147,ok,True,"Action, Crime, Drama",Action,UA,U/A,True,168.0,17 Oct 2025,False,Dhruv Vikram; Pasupathy Ramasaamy; Anurag Arora; Ameer Sultan; Rajisha Vijayan; Anupama Parameswaran,Mari Selvaraj,,1,,0,1.2416,2.7013,0,Friday,10,7.35,20.0,Rs63.0 Cr,Rs45.16 Cr,Rs7.25 Cr,Rs1.0 Cr,,bison_kaalamaadan_2025,Bison Kaalamaadan,1257957.0
Devil's Double Next Level,2025,Tamil,post_covid,9.299999952316284,ok,True,"Comedy, Horror",Comedy,UA,U/A 13+,True,133.0,16 May 2025,False,Gautham Vasudev Menon; Santhanam; Selvaraghavan; Geethika Tiwary,Prem Anand,The Show People,1,2.8938626380650336,11,1.3443,1.1084,0,Friday,5,6.429,7.0,Rs23.75 Cr,Rs18.32 Cr,Rs2.5 Cr,Rs1.0 Cr,,Devils_Double_Next_Level_2025,Devil's Double Next Level,1421019.0
Maaman,2025,Tamil,post_covid,8.099999904632568,ok,True,"Drama, Family",Drama,U,U,True,151.0,16 May 2025,False,Soori Muthuchamy; Yogi Babu; Rajkiran; Aishwarya Lekshmi; Swasika,Prasanth Pandiyaraj,Lark Studios,1,2.9173839822752425,19,1.8888,1.0071,0,Friday,5,6.4,5.0,Rs50.75 Cr,Rs40.2 Cr,Rs4.25 Cr,Rs1.0 Cr,,Maaman_2025,Maaman,1403039.0
Kudumbasthan,2025,Tamil,post_covid,6.3500001430511475,ok,True,Drama,Drama,U,U,True,155.0,24 Jan 2025,False,K. Manikandan; Guru Somasundaram; Saanve Megghana,Rajeshwar Kalisamy,Cinemakaaran,1,,0,0.7799,1.48,0,Friday,1,7.2,10.0,Rs29.5 Cr,Rs23.75 Cr,Rs2.0 Cr,Rs1.0 Cr,,Kudumbasthan_2025,Kudumbasthan,1357713.0
Nilavuku Enmel Ennadi Kobam,2025,Tamil,post_covid,4.519999980926514,ok,True,"Comedy, Romantic",Comedy,UA,U/A 13+,True,132.0,21 Feb 2025,False,R. Sarathkumar; Mathew Thomas; Pavish; Anikha Surendran; Priya Prakash Varrier; Saranya Ponvannan,Dhanush,Wunderbar Films,1,1.7145888718540736,3,0.9213,2.19,0,Friday,2,6.0,10.0,Rs9.5 Cr,Rs8.09 Cr,Rs0.0 Cr,Rs1.0 Cr,14.3786544,Nilavuku_Enmel_Ennadi_Kobam_2025,Nilavuku En Mel Ennadi Kobam,1222049.0
3BHK,2025,Tamil,post_covid,4.449999928474426,ok,True,"Drama, Family",Drama,U,U,True,141.0,04 Jul 2025,False,Siddharth; R. Sarathkumar; Devayani,Sri Ganesh,Shanthi Talkies,1,2.0326823631743003,5,1.078,1.0245,0,Friday,7,7.133,15.0,Rs16.5 Cr,Rs10.25 Cr,Rs2.0 Cr,Rs1.0 Cr,,3BHK_2025,3BHK,1293849.0
Aaryan,2025,Tamil,post_covid,4.350000023841858,ok,True,Crime,Crime,UA,U/A 13+,True,134.0,31 Oct 2025,False,Vishnu Vishal; K. Selvaraghavan; Shraddha Srinath; Jeeva Subramanian; Vani Bhojan; Vaani Kapoor,Praveen K.,,1,2.385833592711382,3,3.1715,2.039,0,Friday,10,5.136,11.0,Rs10.5 Cr,Rs6.66 Cr,Rs2.5 Cr,Rs1.0 Cr,,aaryan_2025,Aaryan (film),1318308.0
Ace,2025,Tamil,post_covid,4.320000052452087,ok,True,"Action, Crime, Thriller",Action,UA,U/A 13+,True,154.0,23 May 2025,False,,,,0,1.4113429471495993,514,2.3737,1.2126,0,Friday,5,5.2,9.0,Rs10.55 Cr,Rs8.83 Cr,Rs0.0 Cr,Rs1.0 Cr,,Ace_2025,Ace (film),1132152.0
Padai Thalaivan,2025,Tamil,post_covid,4.259999990463257,ok,True,"Action, Thriller",Action,,,False,134.0,13 Jun 2025,False,Kasthuri Raja; Munishkanth; Rishi Rithvik; A Venkatesh; Shanmuga Pandian; Ramachandra Raju; Aruldoss; Yamini Chander,U. Anbu,,1,1.2883781517089397,2,0.8505,0.6316,0,Friday,6,0.0,0.0,Rs8.75 Cr,Rs7.46 Cr,Rs0.0 Cr,Rs1.0 Cr,,Padai_Thalaivan_2025,Padai Thalaivan,1484999.0
Maargan,2025,Tamil,post_covid,4.099999964237213,ok,True,"Crime, Thriller",Crime,UA,U/A,True,132.0,27 Jun 2025,False,Vijay Antony; Samuthirakani; Deepshikha; Brigida Saga,Leo John Paul,Vijay Antony Film Corporation,1,2.3908865526638925,10,1.6677,1.1244,0,Friday,6,6.188,16.0,Rs14.41 Cr,Rs9.08 Cr,Rs0.0 Cr,Rs1.0 Cr,,Maargan_2025,Maargan,1425641.0
Mask (2025),2025,Tamil,post_covid,4.0,ok,True,"Comedy, Thriller",Comedy,,,False,127.0,21 Nov 2025,False,Kavin M; Charle; Andrea Jeremiah; Ruhani Sharma,Vikarnan Ashok,The Show Must Go On,1,,0,,,0,Friday,11,,,Rs10.97 Cr,Rs8.71 Cr,Rs0.8 Cr,Rs1.0 Cr,,Mask_2025,Mask (2025 film),
Sirai,2025,Tamil,post_covid,3.9999998807907104,ok,True,"Action, Drama, Thriller",Action,UA,U/A 13+,True,124.0,25 Dec 2025,True,LK Akshay Kumar; Vikram Prabhu; Ananda Thambirajah; Anishma Anilkumar,Suresh Rajakumari,Seven Screen Studio,1,1.401437708336708,2,0.8083,2.3219,0,Thursday,12,6.4,10.0,Rs31.65 Cr,Rs24.28 Cr,Rs3.0 Cr,Rs1.0 Cr,,Sirai_2025,Sirai (2025 film),1487142.0
Sakthi Thirumagan,2025,Tamil,post_covid,3.6999999284744263,ok,True,"Action, Drama",Action,,,False,,19 Sep 2025,False,Kannan Arunachalam; Cell Murugan; Vagai Chandrasekhar; Vijay Antony; Sunil Kripalani; Trupthi Ravindra,Arun Prabu,Vijay Anthony Film Corporation,1,2.169053700369523,1,,,0,Friday,9,,,Rs11.15 Cr,Rs8.61 Cr,Rs0.0 Cr,Rs1.0 Cr,,Sakthi_Thirumagan_2025,S. J. Suryah,
Aan Paavam Pollathathu,2025,Tamil,post_covid,3.4499999284744263,ok,True,"Comedy, Drama",Comedy,UA,U/A 13+,True,122.0,31 Oct 2025,False,Jensan Diwakar; Malavika Manoj,Kalaiarasan Thangavel,YSR Films,1,0.6931471805599453,1,1.3704,2.0439,0,Friday,10,5.429,7.0,Rs27.75 Cr,Rs22.06 Cr,Rs2.0 Cr,Rs1.0 Cr,,Aan_Paavam_Pollathathu_2025,Aan Paavam Pollathathu,1435139.0
Vanangaan,2025,Tamil,post_covid,3.049999952316284,ok,True,"Action, Drama, Thriller",Action,UA,UA,True,121.0,10 Jan 2025,False,Arun Vijay; Samuthirakani; Mysskin; Roshni Prakash,Bala (director),V House Productions,1,3.2771447329921766,9,1.6677,0.9208,0,Friday,1,5.5,4.0,Rs10.0 Cr,Rs8.5 Cr,Rs0.0 Cr,Rs1.0 Cr,,Vanangaan_2022,Vanangaan,949380.0
DNA,2025,Tamil,post_covid,2.7500000298023224,ok,True,Drama,Drama,UA,U/A 16+,True,139.0,20 Jun 2025,False,Subramaniam Siva; Ramesh Thilak; Atharvaa; Balaji Sakthivel; Karunakaran; Nimisha Sajayan; Viji Chandrashekhar,Nelson Venkatesan,,1,0.9400072584914712,1,3.1715,1.1537,0,Friday,6,6.2,6.0,Rs9.4 Cr,Rs8.07 Cr,Rs0.0 Cr,Rs1.0 Cr,,DNA_2025,DNA (2025 film),1416501.0
